ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Default
42,26,male,2,own,quite rich,moderate,1158,12,radio/TV,1
43,44,male,1,own,little,moderate,6204,18,repairs,1
44,24,male,2,rent,moderate,little,6187,30,car,1
45,58,female,1,free,little,little,6143,48,car,0
46,35,female,3,own,little,,1393,11,car,1
47,39,male,2,own,quite rich,,2299,36,radio/TV,1
48,23,female,0,rent,quite rich,little,1352,6,car,1
49,39,male,1,own,little,,7228,11,car,1
50,28,female,2,own,moderate,,2073,12,radio/TV,1
51,29,male,1,own,,moderate,2333,24,furniture/equipment,1
52,30,male,3,own,little,moderate,5965,27,car,1
53,25,male,2,own,little,,1262,12,radio/TV,1
54,31,male,2,own,,,3378,18,car,1
55,57,male,2,free,little,moderate,2225,36,car,0
56,26,male,1,own,,,783,6,car,1
57,52,male,3,own,,moderate,6468,12,radio/TV,0
58,31,female,2,own,little,,9566,36,radio/TV,1
59,23,female,3,own,little,rich,1961,18,car,1
60,23,female,1,rent,little,little,6229,36,furniture/equipment,0
61,27,male,2,own,little,moderate,1391,9,business,1
62,50,male,2,own,,moderate,1537,15,radio/TV,1
63,61,male,3,free,little,moderate,1953,36,business,0
64,25,male,2,own,little,moderate,14421,48,business,0
65,26,female,2,own,little,,3181,24,radio/TV,1
66,48,male,2,own,,,5190,27,repairs,1
67,29,female,2,own,little,,2171,12,radio/TV,1
68,22,male,2,own,rich,moderate,1007,12,car,1
69,37,male,2,free,little,,1819,36,education,0
70,25,female,2,own,,,2394,36,radio/TV,1
71,30,female,2,own,little,,8133,36,car,1
72,46,male,1,rent,,,730,7,radio/TV,1
73,51,male,3,free,little,little,1164,8,vacation/others,1
74,41,female,1,own,little,moderate,5954,42,business,1
75,40,male,3,own,,little,1977,36,education,0
76,66,male,3,free,little,little,1526,12,car,1
77,34,male,2,own,little,little,3965,42,radio/TV,0
78,51,male,2,own,little,moderate,4771,11,radio/TV,1
79,39,male,1,own,,,9436,54,car,1
80,22,male,2,own,little,moderate,3832,30,furniture/equipment,1
81,44,female,2,own,,,5943,24,radio/TV,0
82,47,male,2,own,quite rich,,1213,15,radio/TV,1
83,24,female,1,rent,moderate,,1568,18,business,1
84,58,female,1,own,little,little,1755,24,vacation/others,1
85,52,male,1,own,little,little,2315,10,radio/TV,1
86,29,female,3,own,little,,1412,12,business,1
87,27,female,2,own,little,moderate,1295,18,furniture/equipment,1
88,47,male,2,free,moderate,moderate,12612,36,education,0
89,30,male,3,own,moderate,little,2249,18,car,1
90,28,male,2,own,little,little,1108,12,repairs,0
91,56,male,2,own,little,,618,12,radio/TV,1
92,54,male,2,own,little,little,1409,12,car,1
93,33,female,1,own,,,797,12,radio/TV,0
94,20,male,2,rent,,rich,3617,24,furniture/equipment,1
95,54,male,2,own,rich,moderate,1318,12,car,1
96,58,male,2,rent,little,moderate,15945,54,business,0
97,61,female,2,own,,,2012,12,education,1
98,34,male,2,own,moderate,moderate,2622,18,business,1
99,36,male,2,own,little,moderate,2337,36,radio/TV,1
100,36,male,3,rent,,moderate,7057,20,car,1
101,41,male,1,rent,moderate,,1469,24,car,1
102,24,male,2,rent,little,moderate,2323,36,radio/TV,1
103,24,female,2,own,little,,932,6,radio/TV,1
104,35,male,2,rent,little,moderate,1919,9,furniture/equipment,1
105,26,male,2,rent,,,2445,12,car,1
106,39,male,3,own,little,moderate,11938,24,vacation/others,0
107,39,male,3,own,little,,6458,18,car,0
108,32,male,2,own,little,moderate,6078,12,car,1
109,30,female,2,own,,little,7721,24,furniture/equipment,1
110,35,male,2,own,quite rich,moderate,1410,14,business,1
111,31,male,2,own,moderate,moderate,1449,6,business,1
112,23,female,2,rent,little,rich,392,15,education,1
113,28,male,1,rent,little,moderate,6260,18,car,1
114,25,female,2,own,little,,7855,36,car,0
115,35,male,2,own,quite rich,little,1680,12,radio/TV,1
116,47,male,2,own,,,3578,48,radio/TV,1
117,30,female,3,own,,little,7174,42,radio/TV,0
118,27,female,2,rent,,little,2132,10,furniture/equipment,1
119,23,female,2,own,quite rich,little,4281,33,furniture/equipment,0
120,36,male,3,own,quite rich,moderate,2366,12,car,1
121,25,female,2,own,little,little,1835,21,radio/TV,0
122,41,female,3,rent,little,,3868,24,car,1
123,24,male,1,rent,little,,1768,12,furniture/equipment,1
124,63,male,2,free,little,rich,781,10,car,1
125,27,female,2,rent,,moderate,1924,18,furniture/equipment,0
126,30,male,2,own,little,little,2121,12,car,1
127,40,male,1,own,little,little,701,12,radio/TV,1
128,30,male,2,own,little,moderate,639,12,repairs,0
129,34,male,3,own,little,moderate,1860,12,car,1
130,29,female,2,own,little,little,3499,12,car,0
131,24,female,2,own,,moderate,8487,48,car,1
132,29,male,2,own,little,little,6887,36,education,0
133,27,male,1,own,little,,2708,15,furniture/equipment,1
134,47,male,2,free,little,,1984,18,furniture/equipment,1
135,21,female,2,own,moderate,,10144,60,radio/TV,1
136,38,female,2,own,,,1240,12,radio/TV,1
137,27,male,2,own,rich,,8613,27,car,1
138,66,male,1,own,quite rich,moderate,766,12,radio/TV,0
139,35,male,2,own,,moderate,2728,15,radio/TV,1
140,44,female,1,rent,little,rich,1881,12,radio/TV,1
141,27,male,0,own,rich,rich,709,6,car,1
142,30,female,3,own,little,moderate,4795,36,radio/TV,1
143,27,male,3,own,little,little,3416,27,radio/TV,1
144,22,male,2,own,little,little,2462,18,furniture/equipment,0
145,23,female,2,own,little,,2288,21,furniture/equipment,1
146,30,male,2,own,moderate,moderate,3566,48,business,1
147,39,female,2,own,little,little,860,6,car,1
148,51,female,2,own,moderate,,682,12,car,1
149,28,male,2,own,little,little,5371,36,furniture/equipment,1
150,46,male,2,own,rich,,1582,18,radio/TV,1
151,42,male,2,free,moderate,,1346,6,radio/TV,1
152,38,male,2,own,little,,1924,10,radio/TV,1
153,24,male,2,own,little,rich,5848,36,radio/TV,1
154,29,female,2,rent,rich,moderate,7758,24,car,1
155,36,male,3,rent,moderate,moderate,6967,24,business,1
156,20,female,2,rent,little,little,1282,12,furniture/equipment,0
157,48,male,2,own,moderate,little,1288,9,repairs,1
158,45,male,1,own,little,little,339,12,education,1
159,38,male,2,own,moderate,moderate,3512,24,car,1
160,34,male,1,own,,,1898,6,radio/TV,1
161,36,male,2,own,moderate,,2872,24,radio/TV,1
162,30,female,2,own,little,,1055,18,car,1
163,36,male,2,own,quite rich,,1262,15,domestic appliances,1
164,70,male,3,free,little,moderate,7308,10,car,1
165,36,male,2,own,quite rich,,909,36,car,1
166,32,male,2,own,quite rich,,2978,6,furniture/equipment,1
167,33,female,2,own,little,little,1131,18,furniture/equipment,0
168,20,female,2,own,rich,moderate,1577,11,furniture/equipment,1
169,25,female,2,rent,little,,3972,24,furniture/equipment,1
170,31,male,2,own,little,moderate,1935,24,business,0
171,33,male,2,rent,little,little,950,15,car,0
172,26,female,2,own,little,,763,12,furniture/equipment,1
173,34,female,3,own,little,moderate,2064,24,furniture/equipment,0
174,33,male,2,own,little,moderate,1414,8,radio/TV,1
175,26,male,2,own,little,little,3414,21,education,0
176,53,female,3,own,,,7485,30,car,0
177,42,male,2,own,little,little,2577,12,furniture/equipment,1
178,52,male,2,own,quite rich,little,338,6,radio/TV,1
179,31,male,3,rent,little,,1963,12,radio/TV,1
180,65,male,2,own,little,little,571,21,car,1
181,28,male,2,own,little,,9572,36,business,0
182,30,male,3,own,little,moderate,4455,36,business,0
183,40,male,1,own,,little,1647,21,car,0
184,50,male,2,own,rich,,3777,24,furniture/equipment,1
185,36,male,2,own,little,moderate,884,18,car,0
186,31,male,2,own,little,,1360,15,radio/TV,1
187,74,female,3,free,little,moderate,5129,9,car,0
188,68,male,0,free,little,moderate,1175,16,car,1
189,20,male,2,own,moderate,little,674,12,radio/TV,0
190,33,female,2,own,little,moderate,3244,18,furniture/equipment,1
191,54,male,3,own,rich,,4591,24,business,0
192,34,male,1,free,moderate,moderate,3844,48,business,0
193,36,male,2,own,little,moderate,3915,27,business,0
194,29,male,2,rent,little,,2108,6,radio/TV,1
195,21,male,2,rent,moderate,moderate,3031,45,radio/TV,0
196,34,female,3,own,little,moderate,1501,9,education,0
197,28,female,2,own,little,,1382,6,radio/TV,1
198,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,0
199,36,male,2,free,,moderate,2760,24,car,1
200,40,male,3,own,little,moderate,4297,18,furniture/equipment,0
201,52,male,2,own,quite rich,,936,9,education,1
202,27,male,1,own,little,little,1168,12,car,1
203,26,male,2,own,little,,5117,27,business,1
204,21,male,2,rent,little,little,902,12,education,0
205,38,male,1,own,little,,1495,12,car,1
206,38,male,3,free,little,little,10623,30,car,1
207,43,male,2,own,little,,1935,12,furniture/equipment,1
208,26,male,2,own,little,moderate,1424,12,domestic appliances,1
209,21,male,1,own,little,little,6568,24,business,1
210,55,male,2,own,rich,,1413,12,car,1
211,33,male,2,own,,,3074,9,radio/TV,1
212,45,female,1,own,,,3835,36,radio/TV,1
213,50,male,2,own,little,little,5293,27,business,0
214,66,male,3,own,little,rich,1908,30,business,0
215,51,male,2,own,,,3342,36,radio/TV,1
216,39,female,1,own,,moderate,932,6,education,1
217,31,male,2,own,little,little,3104,18,business,1
218,23,male,2,own,little,rich,3913,36,radio/TV,1
219,24,male,1,rent,little,little,3021,24,furniture/equipment,1
220,64,female,2,own,little,,1364,10,car,1
221,26,male,1,own,little,moderate,625,12,radio/TV,1
222,23,female,2,rent,,little,1200,12,education,1
223,30,male,2,own,little,,707,12,radio/TV,1
224,32,male,2,own,,,2978,24,business,1
225,30,male,2,own,little,,4657,15,car,1
226,27,male,2,own,little,,2613,36,repairs,1
227,27,male,2,own,rich,moderate,10961,48,radio/TV,0
228,53,male,3,free,little,little,7865,12,furniture/equipment,0
229,22,male,2,own,little,,1478,9,radio/TV,0
230,22,male,2,free,little,little,3149,24,furniture/equipment,1
231,26,male,2,own,little,rich,4210,36,radio/TV,0
232,51,male,1,free,quite rich,,2507,9,car,1
233,35,male,2,own,moderate,,2141,12,radio/TV,1
234,25,male,1,own,little,moderate,866,18,radio/TV,1
235,42,male,1,own,little,,1544,4,radio/TV,1
236,30,male,3,own,little,little,1823,24,radio/TV,0
237,23,male,0,own,,moderate,14555,6,car,0
238,61,male,1,rent,moderate,moderate,2767,21,business,0
239,35,female,2,own,little,,1291,12,radio/TV,1
240,39,male,2,own,little,little,2522,30,radio/TV,1
241,29,female,2,own,,little,915,24,car,0
242,51,male,2,own,little,,1595,6,radio/TV,1
243,24,male,2,free,little,little,4605,48,car,0
244,27,female,2,own,little,,1185,12,business,1
245,35,female,1,own,quite rich,,3447,12,education,1
246,25,male,2,own,little,,1258,24,business,1
247,52,male,2,own,little,,717,12,radio/TV,1
248,35,male,2,rent,moderate,,1204,6,car,1
249,26,male,2,own,little,rich,1925,24,furniture/equipment,1
250,22,female,2,rent,little,,433,18,radio/TV,0
251,39,female,1,own,rich,little,666,6,car,1
252,46,female,1,own,little,rich,2251,12,furniture/equipment,1
253,24,female,2,own,little,moderate,2150,30,car,0
254,35,male,2,own,moderate,,4151,24,furniture/equipment,1
255,24,male,2,own,,moderate,2030,9,furniture/equipment,1
256,27,male,1,own,,moderate,7418,60,radio/TV,1
257,35,male,1,own,little,,2684,24,radio/TV,1
258,29,male,2,free,little,little,2149,12,radio/TV,0
259,23,female,2,own,moderate,,3812,15,car,1
260,57,female,1,own,moderate,,1154,11,radio/TV,1
261,27,male,2,own,little,little,1657,12,furniture/equipment,1
262,55,female,2,own,little,little,1603,24,radio/TV,1
263,36,male,3,free,little,little,5302,18,car,1
264,57,female,1,free,little,,2748,12,education,1
265,32,male,1,own,little,,1231,10,car,1
266,37,male,2,own,little,moderate,802,15,radio/TV,0
267,36,male,2,own,,,6304,36,business,1
268,38,female,2,own,little,,1533,24,radio/TV,1
269,45,male,3,own,little,little,8978,14,car,0
270,25,male,2,own,,,999,24,radio/TV,1
271,32,male,2,own,,,2662,18,car,1
272,37,female,2,rent,quite rich,,1402,12,furniture/equipment,1
273,36,male,3,free,,moderate,12169,48,car,1
274,28,male,2,own,little,moderate,3060,48,radio/TV,0
275,34,male,1,own,little,little,11998,30,repairs,0
276,32,male,2,own,little,,2697,9,radio/TV,1
277,26,female,2,own,little,,2404,18,radio/TV,1
278,49,male,1,own,,little,1262,12,furniture/equipment,1
279,32,female,2,own,little,,4611,6,furniture/equipment,0
280,29,male,3,rent,moderate,,1901,24,radio/TV,1
281,23,male,2,rent,rich,,3368,15,car,1
282,50,male,2,own,little,,1574,12,furniture/equipment,1
283,49,male,1,own,,rich,1445,18,radio/TV,1
284,63,male,2,own,,,1520,15,furniture/equipment,1
285,37,male,2,own,moderate,moderate,3878,24,car,1
286,35,female,1,own,little,little,10722,47,car,1
287,26,male,2,own,little,little,4788,48,car,1
288,31,male,3,free,moderate,moderate,7582,48,vacation/others,1
289,49,female,2,own,little,moderate,1092,12,radio/TV,1
290,48,male,2,own,little,little,1024,24,radio/TV,0
291,26,male,2,own,little,,1076,12,business,1
292,28,male,3,rent,little,moderate,9398,36,car,0
293,44,female,3,free,little,little,6419,24,car,1
294,56,male,2,free,little,rich,4796,42,car,1
295,46,male,3,own,,,7629,48,business,1
296,26,female,2,own,little,moderate,9960,48,furniture/equipment,0
297,20,female,2,rent,,,4675,12,car,1
298,45,male,1,own,,,1287,10,car,1
299,43,male,2,own,little,,2515,18,furniture/equipment,1
300,32,male,2,own,rich,moderate,2745,21,furniture/equipment,1
301,54,female,0,own,little,,672,6,car,1
302,42,female,2,own,little,moderate,3804,36,radio/TV,0
303,37,male,1,own,,rich,1344,24,car,0
304,49,male,2,own,little,little,1038,10,car,1
305,44,male,2,free,quite rich,,10127,48,car,0
306,33,male,2,own,rich,,1543,6,furniture/equipment,1
307,24,female,1,rent,,,4811,30,car,1
308,33,male,1,own,moderate,little,727,12,radio/TV,0
309,24,female,2,own,little,moderate,1237,8,furniture/equipment,0
310,22,male,1,rent,little,moderate,276,9,car,1
311,40,male,0,free,,moderate,5381,48,vacation/others,1
312,25,male,2,own,moderate,,5511,24,furniture/equipment,1
313,26,female,2,own,little,rich,3749,24,furniture/equipment,1
314,25,male,1,own,little,moderate,685,12,car,0
315,29,male,1,own,,rich,1494,4,car,1
316,31,male,2,own,little,little,2746,36,furniture/equipment,0
317,38,male,1,own,little,little,708,12,furniture/equipment,1
318,48,female,1,own,,moderate,4351,24,furniture/equipment,1
319,32,male,2,own,little,,701,12,education,1
320,27,female,1,own,little,little,3643,15,furniture/equipment,1
321,28,male,3,own,little,moderate,4249,30,car,0
322,32,male,2,own,little,little,1938,24,radio/TV,0
323,34,male,3,free,little,little,2910,24,car,1
324,28,male,2,own,rich,little,2659,18,furniture/equipment,1
325,36,female,2,own,little,,1028,18,car,1
326,39,male,1,own,little,little,3398,8,car,1
327,49,male,2,rent,,,5801,12,furniture/equipment,1
328,34,female,2,own,rich,,1525,24,car,1
329,31,male,2,own,little,rich,4473,36,radio/TV,1
330,28,male,2,own,little,moderate,1068,6,radio/TV,1
331,75,male,3,free,little,little,6615,24,car,1
332,30,female,2,own,moderate,,1864,18,education,0
333,24,female,3,own,moderate,moderate,7408,60,car,0
334,24,female,1,rent,moderate,,11590,48,car,0
335,23,male,2,rent,little,little,4110,24,furniture/equipment,0
336,44,male,3,rent,little,little,3384,6,furniture/equipment,0
337,23,female,1,own,little,moderate,2101,13,radio/TV,1
338,24,female,2,rent,,little,1275,15,domestic appliances,0
339,28,male,2,own,little,little,4169,24,furniture/equipment,1
340,31,male,1,own,little,moderate,1521,10,furniture/equipment,1
341,24,female,2,free,little,moderate,5743,24,education,1
342,26,female,1,rent,little,little,3599,21,furniture/equipment,1
343,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,1
344,33,male,3,own,little,moderate,4439,18,business,1
345,37,male,1,own,little,rich,3949,10,car,1
346,43,female,1,own,little,,1459,15,radio/TV,1
347,23,male,2,own,little,moderate,882,13,radio/TV,1
348,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,1
349,34,male,1,own,moderate,,1743,6,business,1
350,32,male,2,free,rich,moderate,1136,9,education,0
351,23,female,2,rent,little,,1236,9,domestic appliances,1
352,29,female,2,own,little,moderate,959,9,furniture/equipment,0
353,38,male,3,own,,,3229,18,car,1
354,28,male,2,rent,little,little,6199,12,radio/TV,0
355,46,male,2,free,quite rich,,727,10,education,1
356,23,male,1,own,little,moderate,1246,24,car,0
357,49,male,2,own,,,2331,12,radio/TV,1
358,26,male,3,own,little,,4463,36,radio/TV,0
359,28,male,2,own,little,,776,12,radio/TV,1
360,23,female,2,rent,little,little,2406,30,furniture/equipment,0
361,61,male,2,free,,moderate,1239,18,education,1
362,37,male,3,own,,rich,3399,12,radio/TV,1
363,36,female,2,own,little,rich,2247,12,car,1
364,21,male,2,rent,little,,1766,6,furniture/equipment,1
365,25,male,0,own,little,little,2473,18,furniture/equipment,0
366,36,male,2,own,little,,1542,12,business,1
367,27,male,2,own,little,,3850,18,car,1
368,22,female,2,rent,little,little,3650,18,furniture/equipment,1
369,42,male,2,own,little,little,3446,36,furniture/equipment,0
370,40,female,2,rent,little,moderate,3001,18,furniture/equipment,1
371,36,male,2,own,,,3079,36,car,1
372,33,male,2,own,little,,6070,18,radio/TV,1
373,23,female,2,rent,little,,2146,10,furniture/equipment,1
374,63,male,3,free,,,13756,60,car,1
375,60,female,3,free,moderate,moderate,14782,60,vacation/others,0
376,37,female,2,rent,little,little,7685,48,business,0
377,34,male,2,own,little,,2320,18,radio/TV,1
378,36,male,2,free,,,846,7,radio/TV,1
379,57,male,3,free,little,moderate,14318,36,car,0
380,52,female,1,own,moderate,,362,6,car,1
381,39,male,2,own,,little,2212,20,furniture/equipment,1
382,38,female,3,free,little,moderate,12976,18,car,0
383,25,female,2,rent,,,1283,22,car,1
384,26,male,2,own,little,rich,1330,12,car,1
385,26,male,1,own,moderate,,4272,30,business,1
386,25,female,2,own,little,,2238,18,radio/TV,1
387,21,female,2,rent,,,1126,18,radio/TV,1
388,40,male,3,own,little,moderate,7374,18,furniture/equipment,1
389,27,male,2,own,quite rich,moderate,2326,15,business,1
390,27,female,2,own,little,,1449,9,business,1
391,30,male,3,own,little,,1820,18,car,1
392,19,female,1,rent,rich,moderate,983,12,furniture/equipment,1
393,39,male,3,free,little,little,3249,36,car,1
394,31,female,2,own,little,little,1957,6,radio/TV,1
395,31,male,3,own,little,,2406,9,furniture/equipment,1
396,32,male,2,rent,moderate,moderate,11760,39,education,1
397,55,female,3,free,little,little,2578,12,furniture/equipment,1
398,46,male,2,own,little,little,2348,36,furniture/equipment,1
399,46,male,2,rent,little,moderate,1223,12,car,0
400,43,female,1,own,rich,,1516,24,radio/TV,1
401,39,male,2,own,little,,1473,18,radio/TV,1
402,28,male,2,own,,moderate,1887,18,business,1
403,27,male,2,own,little,,8648,24,business,0
404,27,male,1,own,little,,802,14,car,1
405,43,male,2,own,,moderate,2899,18,car,1
406,22,male,2,own,little,moderate,2039,24,radio/TV,0
407,43,male,2,own,,,2197,24,car,1
408,27,male,2,own,little,little,1053,15,radio/TV,1
409,26,male,3,own,quite rich,,3235,24,radio/TV,1
410,28,male,2,own,quite rich,rich,939,12,car,0
411,20,female,2,own,little,moderate,1967,24,radio/TV,1
412,35,male,3,own,little,,7253,33,car,1
413,42,male,3,own,little,,2292,12,business,0
414,40,male,1,rent,quite rich,,1597,10,car,1
415,35,female,2,own,,little,1381,24,car,0
416,35,male,2,own,little,,5842,36,car,1
417,33,male,1,own,little,little,2579,12,car,0
418,23,female,2,rent,,little,8471,18,education,1
419,31,female,3,own,quite rich,,2782,21,car,1
420,33,female,2,own,,moderate,1042,18,car,0
421,20,female,2,rent,rich,,3186,15,car,1
422,30,male,2,own,,moderate,2028,12,car,1
423,47,male,1,own,little,moderate,958,12,car,1
424,34,male,3,own,moderate,,1591,21,furniture/equipment,1
425,25,female,2,own,,moderate,2762,12,furniture/equipment,0
426,21,male,2,rent,little,moderate,2779,18,car,1
427,29,male,2,own,little,,2743,28,radio/TV,1
428,46,male,2,own,rich,,1149,18,radio/TV,1
429,20,male,2,own,little,,1313,9,furniture/equipment,1
430,55,female,0,free,little,little,1190,18,repairs,0
431,74,male,1,own,little,,3448,5,business,1
432,29,male,3,own,little,moderate,11328,24,vacation/others,0
433,36,male,3,free,little,little,1872,6,furniture/equipment,1
434,33,male,2,own,little,,2058,24,repairs,1
435,25,male,2,own,little,little,2136,9,furniture/equipment,1
436,25,male,2,own,,moderate,1484,12,radio/TV,0
437,23,male,1,rent,quite rich,,660,6,repairs,1
438,37,female,2,own,rich,,1287,24,car,1
439,65,male,0,own,little,little,3394,42,repairs,1
440,26,female,0,own,little,rich,609,12,business,0
441,39,male,3,own,little,,1884,12,car,1
442,30,female,2,own,little,little,1620,12,furniture/equipment,1
443,29,male,2,own,little,moderate,2629,20,vacation/others,1
444,41,male,1,own,little,,719,12,education,0
445,30,female,3,own,little,moderate,5096,48,furniture/equipment,0
446,41,female,1,rent,,,1244,9,education,1
447,34,female,2,own,little,little,1842,36,car,0
448,35,male,2,own,little,moderate,2576,7,radio/TV,1
449,55,female,3,own,,rich,1424,12,furniture/equipment,1
450,61,male,2,own,rich,moderate,1512,15,repairs,0
451,30,male,3,own,,,11054,36,car,1
452,29,female,2,own,little,,518,6,radio/TV,1
453,34,male,2,own,little,,2759,12,furniture/equipment,1
454,35,male,3,own,little,,2670,24,car,1
455,31,male,2,own,little,little,4817,24,car,0
456,29,female,3,own,little,,2679,24,car,1
457,36,male,2,rent,little,little,3905,11,car,1
458,35,male,2,free,little,little,3386,12,car,0
459,27,female,2,own,little,little,343,6,domestic appliances,1
460,32,male,2,own,little,,4594,18,radio/TV,1
461,37,male,2,own,little,little,3620,36,furniture/equipment,1
462,36,male,2,own,little,little,1721,15,car,1
463,34,female,3,rent,little,moderate,3017,12,furniture/equipment,1
464,38,male,2,own,,moderate,754,12,education,1
465,34,male,2,own,little,,1950,18,business,1
466,63,male,2,own,little,little,2924,24,car,1
467,29,female,1,rent,little,little,1659,24,radio/TV,0
468,32,male,2,own,,,7238,48,radio/TV,1
469,26,female,2,own,little,,2764,33,business,1
470,35,male,1,own,little,,4679,24,car,1
471,22,male,2,rent,moderate,moderate,3092,24,radio/TV,0
472,23,female,2,own,little,little,448,6,education,0
473,28,male,1,own,little,little,654,9,car,0
474,36,male,3,own,,,1238,6,education,1
475,33,male,2,own,little,moderate,1245,18,radio/TV,0
476,26,female,2,rent,little,little,3114,18,furniture/equipment,0
477,24,male,2,own,quite rich,,2569,39,car,1
478,25,male,2,own,little,rich,5152,24,radio/TV,1
479,39,male,1,own,moderate,moderate,1037,12,business,1
480,44,male,2,own,little,little,1478,15,furniture/equipment,1
481,23,female,1,own,little,moderate,3573,12,radio/TV,1
482,26,male,2,own,little,moderate,1201,24,car,1
483,57,female,2,rent,rich,little,3622,30,furniture/equipment,1
484,30,female,2,own,rich,,960,15,furniture/equipment,1
485,44,male,2,own,quite rich,,1163,12,car,1
486,47,male,3,own,little,moderate,1209,6,car,0
487,52,male,2,own,little,,3077,12,radio/TV,1
488,62,female,2,free,little,,3757,24,car,1
489,35,male,1,rent,moderate,,1418,10,car,1
490,26,male,2,rent,little,,3518,6,car,1
491,26,male,2,own,little,,1934,12,radio/TV,1
492,42,female,3,free,little,moderate,8318,27,business,0
493,27,female,2,own,moderate,,1237,6,radio/TV,1
494,38,male,2,own,,moderate,368,6,radio/TV,1
495,39,male,1,rent,little,little,2122,12,car,1
496,20,male,2,own,,little,2996,24,furniture/equipment,0
497,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,0
498,40,male,2,own,little,,1585,24,furniture/equipment,1
499,32,male,1,own,little,moderate,1301,18,radio/TV,1
500,28,male,2,own,moderate,rich,1323,6,car,1
501,27,female,2,own,little,little,3123,24,car,0
502,42,male,2,free,little,little,5493,36,car,1
503,49,male,2,own,moderate,rich,1126,9,radio/TV,1
504,38,male,2,own,moderate,moderate,1216,24,radio/TV,0
505,24,female,2,rent,little,little,1207,24,car,0
506,27,male,1,own,,,1309,10,car,0
507,36,male,2,own,quite rich,rich,2360,15,car,1
508,34,male,3,own,moderate,moderate,6850,15,car,0
509,28,male,2,own,little,,1413,24,radio/TV,1
510,45,male,3,own,moderate,,8588,39,car,1
511,26,male,2,own,little,little,759,12,car,0
512,32,male,3,free,little,,4686,36,car,1
513,26,male,2,rent,little,rich,2687,15,business,1
514,20,male,2,rent,little,moderate,585,12,radio/TV,1
515,54,male,2,own,,,2255,24,car,1
516,37,female,2,own,little,little,609,6,car,1
517,40,male,1,own,little,little,1361,6,car,1
518,23,female,2,rent,little,,7127,36,furniture/equipment,0
519,43,male,2,own,moderate,little,1203,6,car,1
520,36,male,2,free,,,700,6,radio/TV,1
521,44,male,2,free,little,,5507,24,repairs,1
522,24,female,2,own,little,little,3190,18,radio/TV,0
523,53,male,2,free,little,little,7119,48,furniture/equipment,0
524,23,female,2,own,moderate,,3488,24,car,1
525,26,female,1,own,little,moderate,1113,18,radio/TV,1
526,30,male,2,own,little,moderate,7966,26,car,1
527,31,female,2,own,moderate,,1532,15,education,1
528,42,male,1,own,little,,1503,4,radio/TV,1
529,31,male,2,rent,little,little,2302,36,radio/TV,0
530,41,male,1,own,little,little,662,6,car,1
531,32,male,2,own,little,moderate,2273,36,education,1
532,28,female,2,rent,moderate,moderate,2631,15,car,0
533,41,male,2,rent,little,,1503,12,car,1
534,26,male,2,own,moderate,,1311,24,radio/TV,1
535,25,male,2,own,,,3105,24,radio/TV,1
